"Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                  
    374      16     4232      14980             10896   0 SecurityHealthService                                        
    169       9     1952       9404       0.02  10824   1 SecurityHealthSystray                                        
    685      13     5592      10780              1036   0 services                                                     
    105       8     6504       8364             12832   0 SgrmBroker                                                   
    629      31    15884      53572       0.38   9336   1 ShellExperienceHost                                          
    572      18     7204      27496       1.34   4468   1 sihost                                                       
     53       3     1088       1232               620   0 smss                                                         
    307      17     3768      19044       0.33  13900   1 SnippingTool                                                 
    422      21     5472      15268              5008   0 spoolsv                                                      
    642      34    29744      78068       3.30   8112   1 StartMenuExperienceHost                                      
   1500      23    10580      28348              1260   0 svchost                                                      
   1237      22     8368      16584              1384   0 svchost                                                      
    311      12     2808       8680              1432   0 svchost                                                      
    223      13     2868      11432              1612   0 svchost                                                      
    122       8     1324       5520              1664   0 svchost                                                      
    422      16    15932      18948              1728   0 svchost                                                      
    400      18     6176      15532              1736   0 svchost                                                      
    178       8     1584       6284              1780   0 svchost                                                      
    240      13     2432      10344              1816   0 svchost                                                      
    243      13     3276      13952              1820   0 svchost                                                      
    278       9     1940      12128              1836   0 svchost                                                      
    146      20     5088       9252              1936   0 svchost                                                      
    268      11     3148      11172              2012   0 svchost                                                      
    237      11     2592       7956              2040   0 svchost                                                      
    395      15     4568      11864              2132   0 svchost                                                      
    229      12     2424      11748              2156   0 svchost                                                      
    129       8     1440       7204              2244   0 svchost                                                      
    499      14     3000      10272              2328   0 svchost                                                      
    157      10     1824       8408              2476   0 svchost                                                      
    168      10     2372      10144              2520   0 svchost                                                      
    388      16     8544      19320              2544   0 svchost                                                      
    178      10     1932       7720              2568   0 svchost                                                      
    186      10    11436      20000              2632   0 svchost                                                      
    311      16     3440       9048              2720   0 svchost                                                      
    173       9     1984       7900              3076   0 svchost                                                      
    208      12     2124       9652              3180   0 svchost                                                      
    140       9     1520       7248              3416   0 svchost                                                      
    264      16     2824       9984              3472   0 svchost                                                      
    162      10     1864       8572              3496   0 svchost                                                      
    143       8     1336       6440              3624   0 svchost                                                      
    258       8     1380       6020              3864   0 svchost                                                      
    225      12     2768      13920              3872   0 svchost                                                      
    175      12     1876       8216              3880   0 svchost                                                      
    255      10     2384       8528              3960   0 svchost                                                      
    162      10     1756       7556              3968   0 svchost                                                      
    417      14     3388      14024              4048   0 svchost                                                      
    234      18     2352       8000              4120   0 svchost                                                      
    385      16     2608      10060              4288   0 svchost                                                      
    225      15     2552      11136              4292   0 svchost                                                      
    450      34    10948      21300              4352   0 svchost                                                      
    149      10     1780      11776              4480   0 svchost                                                      
    443      20    12472      29724       8.14   4524   1 svchost                                                      
    502      23     8788      36200       1.33   4628   1 svchost                                                      
    412      19     5208      16276              4672   0 svchost                                                      
    211      14     2352      12888              4796   0 svchost                                                      
    294      14     4396      16252              4832   0 svchost                                                      
    364      17     2940      11004              4920   0 svchost                                                      
    177      11     2352      14212              5060   0 svchost                                                      
    207      12     2420       9280              5160   0 svchost                                                      
    172      10     1848       8192              5512   0 svchost                                                      
    179      11     2004       8280              5652   0 svchost                                                      
    291      30     7344      17664              5768   0 svchost                                                      
    587      28    18860      44560              5776   0 svchost                                                      
    361      18     4252      19756              5784   0 svchost                                                      
    143      10     1368       5828              5796   0 svchost                                                      
    343      22    26644      36100              5804   0 svchost                                                      
    143      10     1588       6840              5808   0 svchost                                                      
    160      10     1940       7484              5976   0 svchost                                                      
    136       9     1600       6168              6168   0 svchost                                                      
    381      22     4796      18172              6208   0 svchost                                                      
    376      23     3504      13012              6560   0 svchost                                                      
    316      16     4376      23256       0.30   6896   1 svchost                                                      
    215      11     2040       8656              6924   0 svchost                                                      
    146      10     1812       8188              7268   0 svchost                                                      
    181      11     2152      10432              7456   0 svchost                                                      
    188      12     2368       9004              8272   0 svchost                                                      
    228      13     3060      11204             10624   0 svchost                                                      
    533      20     4240      18828             11004   0 svchost                                                      
    208      12     2848      11516             11764   0 svchost                                                      
    253      14     3012      13228       0.05  11916   1 svchost                                                      
    212      11     2632      11868             11932   0 svchost                                                      
    270      14     5600      11884             12236   0 svchost                                                      
    128       9     1744       8028             14048   0 svchost                                                      
   4035       0      216       8628                 4   0 System                                                       
    831      43    26908       2752       0.44  12880   1 SystemSettings                                               
    300      43    10912      21216       0.59   4944   1 taskhostw                                                    
    363      20     4836      15436       0.06   5412   1 taskhostw                                                    
    575      26    16420      47512       1.81   9820   1 TextInputHost                                                
    149      10     2332      10212       0.08  11336   1 UserOOBEBroker                                               
    188      12     2252      10464       0.03  12320   1 vgtray                                                       
    513      33    19640      16536       0.14  11884   1 Video.UI                                                     
    164      11     1436       6912               540   0 wininit                                                      
    278      13     3112      12056              1132   1 winlogon                                                     
    257      10     1920       8368              2624   0 WUDFHost"
