Event Log
   24360 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'npsvctrig' (10.0, 2025-01-0...
   24359 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'UCPD' (10.0, 2053-03-18T19:...
   24358 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'FileCrypt' (10.0, 2002-03-0...
   24357 May 11 17:19  Information Microsoft-Windows...           98 The description for Event ID '98' in Source 'Mi...
   24356 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'WdFilter' (10.0, 1985-01-06...
   24355 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'Wof' (10.0, 2090-03-17T02:5...
   24354 May 11 17:19  Information Microsoft-Windows...            6 File System Filter 'FileInfo' (10.0, 2062-12-23...
   24353 May 11 17:19  Information Microsoft-Windows...           16 The iommu fault reporting has been initialized.   
   24352 May 11 17:19  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24351 May 11 17:19  Information Microsoft-Windows...           30 The description for Event ID '30' in Source 'Mi...
   24350 May 11 17:19  Information Microsoft-Windows...           27 The description for Event ID '27' in Source 'Mi...
   24349 May 11 17:19  Information Microsoft-Windows...           25 The description for Event ID '25' in Source 'Mi...
   24348 May 11 17:19  Information Microsoft-Windows...          238 The description for Event ID '238' in Source 'M...
   24347 May 11 17:19  Information Microsoft-Windows...           20 The description for Event ID '20' in Source 'Mi...
   24346 May 11 17:19  Information Microsoft-Windows...           32 The description for Event ID '32' in Source 'Mi...
   24345 May 11 17:19  Information Microsoft-Windows...           18 The description for Event ID '18' in Source 'Mi...
   24344 May 11 17:19  Information Microsoft-Windows...          153 The description for Event ID '153' in Source 'M...
   24343 May 11 17:19  Information Microsoft-Windows...           12 The description for Event ID '12' in Source 'Mi...
   24342 May 11 17:19  Information Microsoft-Windows...           13 The description for Event ID '13' in Source 'Mi...
   24341 May 11 17:19  Information Microsoft-Windows...          109 The description for Event ID '109' in Source 'M...
   24340 May 11 17:19  Information Microsoft-Windows...         4001 WLAN AutoConfig service has successfully stoppe...
   24339 May 11 17:19  Information EventLog               2147489661 The system uptime is 14 seconds.                  
   24338 May 11 17:19  Information EventLog               2147489653 The Event log service was started.                
   24337 May 11 17:19  Information EventLog               2147489657 Microsoft (R) Windows (R) 10.00. 19045  Multipr...
   24336 May 11 17:19  Information Microsoft-Windows...        50037 DHCPv4 client service is stopped. ShutDown Flag...
   24335 May 11 17:19  Information Microsoft-Windows...        51057 DHCPv6 client service stop is almost done.DHCP ...
   24334 May 11 17:19  Information Microsoft-Windows...        51047 DHCPv6 client service is stopped. ShutDown Flag...
   24333 May 11 17:19  Information Microsoft-Windows...        50106 DHCPv4 is waiting on DHCPv6 service to stop       
   24332 May 11 17:19  Information Microsoft-Windows...        50105 DHCPv4 client ProcessDHCPRequestForever receive...
   24331 May 11 17:19  Information Microsoft-Windows...        50104 DHCPv4 client received shutdown notification      
   24330 May 11 17:19  Information EventLog               2147489654 The Event log service was stopped.                
   24329 May 11 17:19  Warning     WinRM                      468901 The description for Event ID '468901' in Source...
   24328 May 11 17:19  Information Microsoft-Windows...         7002 User Logoff Notification for Customer Experienc...
   24327 May 11 17:19  Information User32                 2147484722 The process C:\Windows\System32\RuntimeBroker.e...
   24326 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24325 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24324 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24323 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24322 May 11 17:18  Information Microsoft-Windows...         5100 The Network Diagnostics Framework (NDF) has com...
   24321 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24320 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24319 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24318 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24317 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24316 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24315 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24314 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
